idVaga,NomeVaga,Cidade,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,Empresa,DataPubli,Pesquisa
v1954504,Estatístico,São Paulo,Salário a combinar,1,2019-09-27,Júnior/Trainee,QUALIFICAÇÕES NECESSÁRIAS:Conhecimento de modelagem estatística utilizando RConhecimento em Python Inglês AvançadoQUALIFICAÇÕES DESEJÁVEIS:Conhecimento em Machine LearningConhecimento em linguagem SQLConhecimento em AlteryxO profissional atuará no desenvolvimento de modelos estatísticos em R e Python para uso associado ao Qlik e Alteryx.,Nórdica Software,09/09/2019,Estatístico
v1924547,Estatístico,São Paulo,Salário a combinar,1,2019-09-27,Pleno,Responsabilidades:O profissional será responsável pelas seguintes atividades:• Realizar cálculos estatísticos a partir de dados educacionais oficiais e dados coletados em pesquisas avaliações e plataformas educacionais. • Acompanhar e validar análises estatísticas realizadas por fornecedores. • Realizar com autonomia e assertividade as principais etapas do processo de análise de dados: captura e manipulação tratamento e higienização exploração e análises descritivas interpretação e apresentação dos resultados.Requisitos:*Formação: Estatística Matemática Economia Engenharia Tecnologia ou áreas afins. Mestrado é um diferencial.*Conhecimentos Técnicos:• Habilidades de captura manipulação tratamento e higienização de dados• Necessário conhecimento em ferramentas de bancos de dados (SQL)• Excel avançado e programas de pacotes estatísticos• Desejável experiência com modelos e ferramentas de machine learning (R e/ou Python)• Desejável vivência com análise de dados educacionais preferencialmente com avaliação educacional por meio da Teoria da resposta ao Item (TRI).Modalidade de contratação:CLTLocal de trabalho:Matriz Zona Leste de São PauloHorário:ComercialRemuneração:A combinarFacilidades:Convênio médio o odonto VT VARestaurante na empresa Seguro de vida Previdência privada e PLR.,Editora Moderna,16/07/2019,Estatístico
v1955694,Estágio - Estatística,Belo Horizonte,Salário a combinar,1,2019-09-27,Estágio,ATRIBUIÇÕES DO CARGO:Auxiliar nos programas de monitoramento do Projeto Básico Ambiental da UHE Belo Monte e em outros projetos de licenciamento ambiental.Realizar atividades relacionadas à compilação atualização e gestão de planilhas e banco de dados específicos dos referidos programas ambientais.Apoio na elaboração das análises dos relatórios técnicos desenhos gráficos tabelas e mapas (AutoCad e/ou Gis) relacionados às demandas em processos de licenciamento ambiental incluindo o desenvolvimento e modificação de sintaxes e algoritmos.    COMPETÊNCIAS NECESSÁRIAS: Conhecimento em Excel R (intermediário) e AccessBons conhecimentos nos demais programas do Pacote OfficeDesejável conhecimento avançado do RCursando Estatística 3º anoOUTRAS INFORMAÇÕES:Todas as nossas vagas estão disponíveis também para candidatos com deficiência ou beneficiários reabilitados pelo INSS.,Tractebel,10/09/2019,Estatístico
v1945218,Atuário / Estatístico Sr.,São Paulo,Salário a combinar,1,2019-09-27,Sênior,Atividades do cargo: Elaboração de nota técnica atuarial Precificação de planos de saúde Provisões técnicas Análise de indicadores por carteira (por produto tipo de contratação etc.) Teste de Adequação de Passivo e Cálculo de capital mínimo Acompanhar obrigações junto a ANS Apuração de despesas assistenciais (sinistralidade) Análise demográfica dos beneficiários. Conhecimentos necessários: Ensino Superior completo em Ciências Atuariais Matemática ou Estatística Pósgraduação cursando/completa em áreas relacionadas (Finanças Economia Estatística Matemática e afins) Excel avançado Conhecimento em programas estatísticos como: SAS SQL R Pyton Stata SPSS etc Desejável inglês intermediário Essencial ter atuado em empresas dos ramos de: assistência médica previdência ou seguros.,UNIMED FESP,22/08/2019,Estatístico
v1960257,Estágio em Estatística,Brasília,Salário a combinar,1,2019-09-27,Estágio,Empresa: Caixa SeguradoraAtividades a serem desenvolvidas:Contribuir com a consistência análise e interpretação de dados numéricos nos estudos realizados pelo Núcleo de Pesquisa da Diretoria de Comunicação e Experiência do Cliente.Requisitos:A partir do 3º semestreConhecimento do Pacote Office Intermediário/AvançadoDisponibilidade para estagiar 6h/diárias.Local de trabalho: Asa NorteHorário de trabalho: 6h/diárias flexíveisBenefícios: bolsa auxílio VT e VR.,STAG Central de Estágios e Desenvolvimento,18/09/2019,Estatístico
v1925657,Cientista de Dados (Estatístico),São Paulo,Salário a combinar,1,2019-09-27,Sênior,O que você terá de responsabilidade: • Para essa vaga contamos que você nos ajude a analisar os dados disponíveis e a tirar o máximo valor destes para que possamos tomar decisões de negócio baseadas em dados e a construir novos modelos de machine learning• Sugerir novas fontes de dados além das que possuímos atualmente• Selecionar features para construir e/ou otimizar modelos utilizando técnicas de machine learning• Aprimorar/sugerir procedimentos de coleta de dados para incluir informações relevantes para a construção dos modelos• Usar modelagem preditiva para melhorar e otimizar as experiências dos clientes e outros resultados de negócios• Ter perfil de pesquisador. Explorar e estudar artigos científicos que auxiliem no desenvolvimento de novos algoritmos. Temos muitos desafios e várias investigações e pesquisas a serem feitas!  O que buscamos em você:  • Domínio de Python ou R• Desenvolvimento de APIs em Python• Feature Engineering• Jupyter numpy pandas scikitlearn matplotlib seaborn etc• Machine Learning (supervisionado e não supervisionado)• Domínio em algoritmos de processamento em linguagem natural• Mineração transformação e análise de dados• Métricas de performance de modelos: precision recall ROC F1 accuracy etc.  + Plus + • Flask• SQL (busca/recuperação de informação)• Modelagem Matemática e Estatística• Hadoop Hive Spark. O que iremos te oferecer: Pacote básico• auxílio desenvolvimento p/ cursos• auxílio creche (crianças até 5 anos)• convênio médico Porto Seguro• convênio odontológico MetLife• VT fretado ou auxílio estacionamento• VR de R$3200/dia• cesta de natal• seguro de vida     Nossos diferenciais• Great Place To Work TI (201420152016)• ambiente informal• horário flexível•possibilidade de fazer homeoffice alguns dias• café da manhã e da tarde + fruta• ginástica laboral quick massage e assessoria esportiva• parceria com a Gympass• videogame revistas & jornais• parabéns com coxinha e bolo todo mês • festas e eventos ao longo do ano• troca de conhecimento através de palestras e workshops internos• wifi aberto para dispositivos pessoais• parcerias com universidades e escolas de idiomas • fácil acesso de carro trem ou fretado Local de trabalho:Brooklin Novo (Zona Sul São Paulo/SP) Se você tem o perfil para trabalhar neste ambiente desafiador onde todos fazem o que querem e todo mundo tem tudo a ver com isso se inscreva!,VAGAS.com,17/07/2019,Estatístico
v1953616,Estagiário em Estatística ou Matemática,Rio de Janeiro,R$ 1.004,1,2019-09-27,Estágio,Atividades do cargo: Preenchimento e criação de planilhas de Excel Envio e apuração de pesquisas de opinião através de programa específico Relatórios estatístico de eficiência dos projetos Envio de maladireta pelo word. Requisitos mandatórios: Estar cursando matemática ou estatística Excel avançado Ter disponibilidade de atuar de seg a sexta de 9h às 16h Possuir fácil acesso a São Cristóvão.,Manpower Staffing,06/09/2019,Estatístico
v1955641,Assistente de Avaliação em Estatística,Belo Horizonte,Salário a combinar,1,2019-09-27,Júnior/Trainee,Atividades a serem desempenhadas:•         Organização do cronograma e pastas do repositório•         Acompanhamento abertura  e atualização de quadros e cards nas ferramentas de gestão à vista•         Confecção e atualização de planilhas de controle (Ex: Banco de Itens Erratas Anulações)•         Trâmite de conferências de questões com analistas pedagógicos em rodagens•         Conferência das máscaras dos simulados na plataforma•         Elaboração de planilhas e relatórios de reports à coordenação e gerência. Requisitos:Superior completo ou cursando em Estatística. Jornada de Trabalho: 44hs semanais.,Bernoulli Educação,18/09/2019,Estatístico
v1960858,Analista de Avaliação e Estatística,Belo Horizonte,Salário a combinar,1,2019-09-27,Júnior/Trainee,Atividades a serem desempenhadas: Preparar arquivos de rodagemRodar simulado com TRIAnálise de dados dos resultadosAtualizar Dashboard com SimuladosEntregar/conferir o ranking ENEM (anual). Requisitos:• Superior completo ou cursando em Estatística.,Bernoulli Educação,10/09/2019,Estatístico
v1962878,Analista de Modelagem e Estatística Júnior / Pleno e Sênior,São Paulo,Salário a combinar,3,2019-09-27,Sênior,Descrição da área:A Modelagem Estatística é referência para testar hipóteses e fornecer insights para as áreas de negócios. No departamento Automóvel por exemplo além de fornecer informações estratégicas é responsável pela construção e manutenção dos modelos de risco que compõem o processo de precificação dos seguros.O papel do analista é manipular um grande volume de dados conhecer todos os processos o negócio e a forma como seus clientes e corretores atuam. Uma condição importante é equilibrar o conhecimento estatístico e o de negócio além de transmitir as informações e insights produzidos de forma direta e simples.A área faz parte da Diretoria de Atuária e Estatística. Requisitos:Superior Completo preferencialmente nos cursos de Estatística Atuária Matemática ou Engenharia.Domínio do Pacote OfficeConhecimento do Software SASConhecimentos de Técnicas de Modelagem: Regressão Logística Modelos Lineares Generalizado Árvore de Decisão e outros (conhecimento será avaliado em teste técnico).Atividades:Participar da construção de modelos interagindo com os clientes internos para levantamento de suas necessidades com a equipe de estatísticos para identificação da melhor forma de desenvolvimento e aplicação e com a área de sistemas para obtenção de dados e definição da implantação dos modelos.Validar e a implantar os modelos de precificação fraude e aceitação.Auxiliar a equipe na aplicação de novas técnicas de segmentação e de modelagem preditiva (frequência e custo de sinistro) servindose da técnica mais adequada à realidade de nossa carteira.Acompanhar o resultado e o desempenho dos modelos preditivos por meio de relatórios de monitoramento mensal avaliando a necessidade de substituição de um modelo preditivo por um novo com acréscimo de novas variáveis e novas técnicas.Auxiliar a equipe no processo de levantamento e identificação de variáveis descriminantes do ponto de vista do seguro pesquisando no mercado as bases existentes e acompanhando o processo de obtenção das bases.Auxiliar a equipe na pesquisa de novas técnicas e ferramentas estatísticas no meio acadêmico ou em outros setores de atividades e adaptálas a realidade de seguros visando atender as necessidades dos clientes internos e melhorar a performance da área.Participar da construção de estudos estatísticos que auxiliem os Clientes Internos na tomada de decisão.Monitorar continuamente os resultados para buscar oportunidades de captura de margem ou insuficiência de prêmio.Validar as diversas alterações relativas a preço para que as mesmas sejam implementadas corretamente no processo tarifário. Principais Competências: Foco em Resultado Capacidade Crítica Visão Sistêmica e Foco no Cliente são competências que complementam o perfil desejado.,Porto Seguro Seguros,Há 4 dias,Estatístico
