idVaga,NomeVaga,Cidade,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,Empresa,DataPubli
v1945218,Atuário / Estatístico Sr.,São Paulo,Salário a combinar,1,2019-09-02,Sênior,Atividades do cargo: Elaboração de nota técnica atuarial Precificação de planos de saúde Provisões técnicas Análise de indicadores por carteira (por produto tipo de contratação etc.) Teste de Adequação de Passivo e Cálculo de capital mínimo Acompanhar obrigações junto a ANS Apuração de despesas assistenciais (sinistralidade) Análise demográfica dos beneficiários. Conhecimentos necessários: Ensino Superior completo em Ciências Atuariais Matemática ou Estatística Pósgraduação cursando/completa em áreas relacionadas (Finanças Economia Estatística Matemática e afins) Excel avançado Conhecimento em programas estatísticos como: SAS SQL R Pyton Stata SPSS etc Desejável inglês intermediário Essencial ter atuado em empresas dos ramos de: assistência médica previdência ou seguros.,UNIMED FESP,22/08/2019
v1917776,Analista de Modelagem Estatística Sênior,Barueri,Salário a combinar,1,2019-09-02,Sênior,Principais Atividades:Desenvolvimento de modelos estatísticos para todo o ciclo de crédito (Propensão Concessão e Recuperação)Avaliação de novas técnicas estatísticas para melhores resultadosApresentação para clientes de resultados.Para atuação nesta área e protagonizar sua carreira além de pensamento inovador você precisará de:Sólidos conhecimentos em técnicas de Machine LearningConhecimento em SAS R ou PythonVivência em Regressão Logística. Formação necessária para estas posições:Matemática Estatística Ciência da Computação ou Engenharia. Remuneração Benefícios e Vantagens:A Boa Vista SCPC oferece um programa de benefícios flexíveis e você poderá distribuílos de acordo com suas necessidades:Remuneração compatível com o mercadoJornada de 40 horas semanais em horário flexívelTrabalho em jornada flexívelParticipação nos Resultados (PPR)Assistência MédicaAssistência OdontológicaValeRefeição/AlimentaçãoTransporte fretado para diversas regiões conforme disponibilidade/Vale transportePrevidência Privada com coparticipação da Boa VistaSeguro de vidaConvênio farmáciaConvênio SESCWifi liberado em todas as áreasDayoff no dia do seu aniversário + ingresso para cinema​Espaços exclusivos para refeições lazer e descanso com rede bebidas quentes frigobar televisão video game mesa de sinuca pingpong e outros jogosAmbulatório com consultas assistenciais para dependentes legais incluindo campanhas de vacinas sazonaisPAE – Programa de Assistência ao Empregado e Familiares com atendimento de equipe multidisciplinar por telefone composta por Assistente Social Psicólogos Advogados e Nutricionistas 24 horas por dia 7 dias da semana sem qualquer custo.,Boa Vista SCPC,03/07/2019
v1943426,Consultor Sênior - Marketing - CRM - Estatístico (Telecomunicações),Rio de Janeiro,Salário a combinar,1,2019-09-02,Sênior,Descrição das atividades Monitoramento de novas receitas do negócio PréPago (TIM Ads e Crédito Especial) Análises estatísticas para subsidiar o negócio pré pago por novas formas de receita Alinhamento de Projetos das demais áreas que impactam o negócio Pré Pago Análises dos impactos ou possíveis impactos nos indicadores Pré Pago das novas receitasConhecimento e Experiência desejável Experiência no mercado de Telecom Conhecimento em SAS SQL Excel Power Point Bom relacionamento interpessoal com áreas paresFormação desejávelEstatística Administração Engenharia da Produção Ciência de Dados Sistemas de InformaçãoEscolaridade MínimaSuperior CompletoEmpresa e Local de TrabalhoM300 TIM S.A.RJ Rio de Janeiro,TIM Brasil,Há 7 dias
v1941042,Estágio em Engenharia ou Estatística - Gestão Operacional e Qualidade,Paulínia,R$ 1.530 a R$ 1.750,1,2019-09-02,Estágio,.Requisitos obrigatórios: Cursando Penúltimo Ano de Engenharia ou Estatística   Inglês Intermediário / Avançado Domínio do Pacote Office com Excel Avançado .Atividades do Estagiário: Treinamento em ISO 9001 ISO 14001 Excelência e Seis Sigma (noções básicas) e participação em auditorias internas.Suporte à implementação do Plano anual de Excelência/Qualidade.Desenvolvimento e manutenção de ferramentas que auxiliam a medição de indicadores críticos para Qualidade e Excelência (Flash Qualidade BSC Vazamentos Horas Extras entre outros).Atuar nos projetos na área de Excelência.,Willisa,14/08/2019
v1940030,"Estágio em Administração de Empresas, Eng. Produção, Estatística - Dasa / PE",Recife,Salário a combinar,1,2019-09-02,Estágio,Requisitos:Cursando Administração de Empresas Matemática Eng. Produção com formação prevista a partir de 12/2020Área Atuação/ Atividades:Núcleo Técnico Operacional –  (1 vagas)Acompanhamento de IndicadoresGestão do Modelo DASA de ProduçãoDesenvolvimento de dashboard de indicadores da produção e acompanhamentoRelatórios gerenciais Bolsa Auxílio e Benefícios:Bolsa estágio: R$ 95500Possibilidade de prorrogação de contratoPossibilidade de efetivaçãoHorário de Estágio:6 horas/dia das 9h às 16hLocais de Estágio: RecifeBOA VIAGEM/ PE,Instituto Via de Acesso,13/08/2019
v1939529,Analista de Modelagem de Crédito Sr,São Paulo,Salário a combinar,1,2019-09-02,Sênior,REQUISITOS: Formação Superior em Estatística/Matemática/Física/Economia/ Administração de Empresas. Desejável Pósgraduação Experiência em instituições financeiras com criação de modelos estatísticos de crédito Pessoa Física Mensuração e analise de resultados Estudos comportamentais de clientes.,CV Consult,12/08/2019
v1948756,Estágio área de Supply Chain,Vinhedo,Salário a combinar,1,2019-09-02,Estágio,Multinacional em parceria com a Global Empregos Requisitos: Cursando Engenharia Matemática ou Estatística• EXCEL AVANÇADO• CONHECIMENTO EM BANCO DE DADOS• POWER POINT INTERMEDIÁRIO• INGLÊS INTERMEDIÁRIO Benefícios: Vale alimentação vale transporte convênio médico refeição no local e seguro de vidaHorário: 07h30 às 14h30 ou 10h13 as 17h13 – segunda a sextaResponsabilidades: dar Suporte quantitativo ao setor de Supply Chain através do mapeamento análise e geração de dados estatísticos para fundamentar a tomada de decisão minimizando os riscos e automatizando as decisões com assertividade nos resultados. Extração de relatório do SAP realização de carga tratamento e extração de dados no Banco de Dados do Excel (construir modelos estatísticos). Auxiliar na análise estatística dos dados propondo melhor modelo estatístico e ajudar na implementação de melhorias. Auxiliar na criação de indicadores de Gestão do Supply Chain e acompanhar os indicadores de gestão realizando melhorias nas bases de dados e suportando as melhorias nos processos da área de Supply Chain. Domínio do MS Excel e bom uso do MS PowerPoint. Pesquisar novas técnicas e metodologias em modelagem e testar sua aplicação no negócio.,Global Empregos,Há 5 dias
v1943791,Analista de Modelagem Sênior,Rio de Janeiro,Salário a combinar,1,2019-09-02,Sênior,Prérequisito:Graduação em Estatística Matemática Atuária ou Engenharia.Experiência com Bancos de DadosDomínio dos indicadores de performance de carteira e indicadores de performance de modelos estatísticos (árvore de decisão e regressão logística) de scoring.Vivência com ferramenta SAS e Modelos de segmentação Excel Avançado Programação SAS ou SQL.Necessário experiência com Modelagem.Atividades:Elaborar/acompanhar modelos estatísticos de risco oportunidade e perfil para operadora de saúdeGerar Leads para açõesOtimizar política de retenção e fidelizaçãoTratar as bases de dados e compilar informações. Oferecemos: Salário compatível com o mercado + benefícios.,Confidencial,20/08/2019
v1946843,Cientista de Dados,Distrito Federal,Salário a combinar,1,2019-09-02,Sênior,Conhecimentos: Conhecimentos avançados em Data Mining Conhecimento avançado de SQL Conhecimento e experiência no desenvolvimetno de modelos utilizando algoritmos de Machine Learning Regressão logísticaÁrvore de decisão KNN Random Forests Técnicas resampling Validação de Performance de Modelos Domínio de um pacote estatístico R ou Python ou SASVisualização de Dados Será um diferencial:  Conhecimento de SAS enterprise Miner – Reiforcement Learning Redes Neurais autoregressivas e Modelos Bayesianos – Experiência em estatística aplicada a serviços financeiros (Banking)Atividades a serem Desenvolvidas:Análise exploratória dos dadosImplantação e desenvolvimento de modelos estatísticos Validação de performance dos modelos,Vert Soluções em TIC,Há 7 dias
v1949959,Analista Operacional,Canaã dos Carajás,Salário a combinar,1,2019-09-02,Pleno,Principais Requisitos:•             Conhecimento com tratamento estatístico de dados•             Conhecimento na aplicação de softwares estatísticos•             Elaboração e aplicação de PDCA•             Aplicação da metodologia de 6 Sigmas para tratamento de desvios e problemas tratando a causa raiz.Controle operacional de variáveis de processo análise estatística de dados.Acompanhar as operações das Usinas monitorando as variáveis de processo controlando e fazendo as tratativas de desvios e Não conformidadesFazer interface da operação dos turnos com a gestão das UsinasIdentificação de riscos e de melhorias e atuar para a manutenção dos níveis de produtividadeAssessorar o planejamento estratégico da operação de UsinaCoordenar e/ou orientar as ferramentas da qualidade e segurança.Disponibilidade para atuar com revezamento de turno.,Search Consultoria em Recursos Humanos,Há 3 dias
v1946961,Analista de Modelagem Pleno,Barueri,Salário a combinar,1,2019-09-02,Pleno,Horário: das 8h00 às 17:00 (2ª à 6ª feira) O que a área faz:Através de dados estudos análises e raciocínio sistêmico a área de Analytics e Modelagem Estatística auxilia na tomada de decisão do negócio buscando impactar na lucratividade da companhia. O que você precisa ter:Superior completo em Estatística (ou áreas afins) e Inglês básico para leitura. Também buscamos pessoas que tenham conhecimento em SAS SQL e em outras ferramentas de manipulação de banco de dados ou software estatístico. O que você irá entregar:Estudos/hipóteses a partir da análise de dados apoiar nas atividades de homologação e manipulação dessa base criar modelos estatísticos realizar a manutenção dos modelos existentes desenvolver apresentações executivas e realizar pesquisas a respeito de outras técnicas e metodologias em modelagem/ analytics e suas respectivas aplicações. O que nós oferecemos:Vale Transporte Vale Refeição Vale Alimentação participação nos lucros da empresa auxílio creche e babá para os seus filhos assistência médica e odontológica desconto em academias pelo Gympass descontos exclusivos em produtos da seguradora café da manhã e um salário compatível com o mercado.,Bradesco Seguros,Há 7 dias
v1935530,Atuário Sênior,São Paulo,R$ 8.000,1,2019-09-02,Sênior,Atividades a serem desenvolvidasGeração de bases de dados utilizando modelos estatísticosSuporte a demais analistas quanto a programação e geração de informaçãoDesenvolvimentos de indicadores para a diretoria e presidênciaParticipação nos projetos do departamento incluindo especificações técnicas para a área de sistemasDar suporte a Gerência Técnica em treinamentosDesenvolvimento de Estudos técnicos de aderênciaSimulação de cenários e projeção de resultados das carteiras dos produtos que atuamos.Competências e experiências desejadasProfundo conhecimento de analises e checagem de bases de dadosConhecimento nos sistemas SPSS SQL Power BI e VBA avançados (nivel programador).Excel avançado (será aplicado teste prático)Conhecimento avançado em Power PointConhecimento em projeção financeiras e estatísticasDesejável vivencia no ramo da SaúdeGraduação em Estatística Ciências Atuariais Matemática ou áreas correlatas. Oferecemos:Convênio com faculdades.,Qualicorp São Paulo,05/08/2019
v1940054,Analista de Cadastros (Temporário),Minas Gerais,Salário a combinar,1,2019-09-02,Júnior/Trainee,Requisitos:Formação superior completa em Estatística Geografia Administração ou áreas afinsNecessário experiência com gestão de cadastros gestão de informações georeferenciadas geração de mapas gerenciamento de dados de múltiplas fontes e baseVivência no desenvolvimento e monitoramento de indicadores socioeconômicosVivência com gestão georadar de pessoas animais e espaçoDesejável conhecimento em Direitos Humanos para emergênciasCapacidade de lidar com tratamento de dados por meio de softwares estatísticosDomínio do pacote Office.,Confidencial,13/08/2019
v1892675,Cientista de Dados,São Paulo,Salário a combinar,1,2019-09-02,Pleno,Requisitos: Linguagens Python ou R Estatística básica: conhecimento sobre médias medianas quartis desvio padrão probabilidade testes estatísticos entre outros conceitos. Aprendizado de máquina: conhecimento dos principais algoritmos quando utilizálos e forma correta de realizar experimentos e engenharia de features. Desejável: SQL Demonstrar experiência com Hadoop e Spark  Demonstrar experiência com bancos de dados NoSQL MongoDB Cassandra Neo4j. Profissional PJ (Prazo indeterminado).Local: Butantã (próximo à USP).,Quantum IT,Há 3 dias
v1938704,Coordenador de Data Science,Rio de Janeiro,Salário a combinar,1,2019-09-02,Supervisão/Coordenação,"Atribuições do cargo/ dia a dia da função: Estruturar a coordenação de Data Science (Equipe ferramentas e processos) Coordenar equipe Relacionar e analisar dados usando técnicas estatísticas desenvolvendo modelos implementando soluções de apoio às áreas de negócio Reconhecimento das ""Gap analisys"" do negócio Contribuição aos engenheiros de dados (DW) na construção de novas visões dos bancos Geração de ""insights"" para a empresa através da mastigação dos dados. Conhecimentos específicos/ experiência:  Conhecimento em Marketing Digital (pós graduação). Sólida experiência em técnicas de Mining e Machine learning com aplicações práticas no mundo digital. Sólidos conhecimentos em Data Mining e modelagem estatística (RSPSSSAS). Habilidade de trabalhar com grandes volumes de dados (SQL) de diversas fontes (estruturadas ou não). Habilidade de prototipar análises estatísticas modelando algoritmos em soluções ""data drive"". Contato e colaboração e com as demais áreas da empresa (técnicas ou não). Habilidade de analisar criticamente o detalhe das informações sem perder a perspectiva do todo (Big Picture). Hands on goforit ética curiosidade intelectual e capacidade de trabalho em grupo Conhecimento de tecnologia de Big Data e Cloud Computing. Formação superior preferencialmente em Estatística Ciência da Computação e áreas afins. Local de trabalho:Centro Rio de Janeiro",Confidencial,09/08/2019
v1939413,Coordenador de Data Science,Rio de Janeiro,Salário a combinar,1,2019-09-02,Supervisão/Coordenação,"Atribuições do cargo/ dia a dia da função: Estruturar a coordenação de Data Science (Equipe ferramentas e processos) Coordenar equipe Relacionar e analisar dados usando técnicas estatísticas desenvolvendo modelos implementando soluções de apoio às áreas de negócio Reconhecimento das ""Gap analisys"" do negócio Contribuição aos engenheiros de dados (DW) na construção de novas visões dos bancos Geração de ""insights"" para a empresa através da mastigação dos dados. Conhecimentos específicos/ experiência:  Conhecimento em Marketing Digital (pós graduação). Sólida experiência em técnicas de Mining e Machine learning com aplicações práticas no mundo digital. Sólidos conhecimentos em Data Mining e modelagem estatística (RSPSSSAS). Habilidade de trabalhar com grandes volumes de dados (SQL) de diversas fontes (estruturadas ou não). Habilidade de prototipar análises estatísticas modelando algoritmos em soluções ""data drive"". Contato e colaboração e com as demais áreas da empresa (técnicas ou não). Habilidade de analisar criticamente o detalhe das informações sem perder a perspectiva do todo (Big Picture). Hands on goforit ética curiosidade intelectual e capacidade de trabalho em grupo Conhecimento de tecnologia de Big Data e Cloud Computing. Formação superior preferencialmente em Estatística Ciência da Computação e áreas afins. Local de trabalho:Centro Rio de Janeiro",Confidencial,12/08/2019
