idVaga,NomeVaga,Cidade,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,Empresa,DataPubli,Pesquisa
v1954504,Estatístico,São Paulo,Salário a combinar,1,2019-09-14,Júnior/Trainee,QUALIFICAÇÕES NECESSÁRIAS:Conhecimento de modelagem estatística utilizando RConhecimento em Python Inglês AvançadoQUALIFICAÇÕES DESEJÁVEIS:Conhecimento em Machine LearningConhecimento em linguagem SQLConhecimento em AlteryxO profissional atuará no desenvolvimento de modelos estatísticos em R e Python para uso associado ao Qlik e Alteryx.,Nórdica Software,Há 5 dias,Estatístico
v1945218,Atuário / Estatístico Sr.,São Paulo,Salário a combinar,1,2019-09-14,Sênior,Atividades do cargo: Elaboração de nota técnica atuarial Precificação de planos de saúde Provisões técnicas Análise de indicadores por carteira (por produto tipo de contratação etc.) Teste de Adequação de Passivo e Cálculo de capital mínimo Acompanhar obrigações junto a ANS Apuração de despesas assistenciais (sinistralidade) Análise demográfica dos beneficiários. Conhecimentos necessários: Ensino Superior completo em Ciências Atuariais Matemática ou Estatística Pósgraduação cursando/completa em áreas relacionadas (Finanças Economia Estatística Matemática e afins) Excel avançado Conhecimento em programas estatísticos como: SAS SQL R Pyton Stata SPSS etc Desejável inglês intermediário Essencial ter atuado em empresas dos ramos de: assistência médica previdência ou seguros.,UNIMED FESP,22/08/2019,Estatístico
v1955694,Estágio - Estatística,Belo Horizonte,Salário a combinar,1,2019-09-14,Estágio,ATRIBUIÇÕES DO CARGO:Auxiliar nos programas de monitoramento do Projeto Básico Ambiental da UHE Belo Monte e em outros projetos de licenciamento ambiental.Realizar atividades relacionadas à compilação atualização e gestão de planilhas e banco de dados específicos dos referidos programas ambientais.Apoio na elaboração das análises dos relatórios técnicos desenhos gráficos tabelas e mapas (AutoCad e/ou Gis) relacionados às demandas em processos de licenciamento ambiental incluindo o desenvolvimento e modificação de sintaxes e algoritmos.    COMPETÊNCIAS NECESSÁRIAS: Conhecimento em Excel R (intermediário) e AccessBons conhecimentos nos demais programas do Pacote OfficeDesejável conhecimento avançado do RCursando Estatística 3º anoOUTRAS INFORMAÇÕES:Todas as nossas vagas estão disponíveis também para candidatos com deficiência ou beneficiários reabilitados pelo INSS.,Tractebel,Há 4 dias,Estatístico
v1925657,Cientista de Dados (Estatístico),São Paulo,Salário a combinar,1,2019-09-14,Sênior,O que você terá de responsabilidade: • Para essa vaga contamos que você nos ajude a analisar os dados disponíveis e a tirar o máximo valor destes para que possamos tomar decisões de negócio baseadas em dados e a construir novos modelos de machine learning• Sugerir novas fontes de dados além das que possuímos atualmente• Selecionar features para construir e/ou otimizar modelos utilizando técnicas de machine learning• Aprimorar/sugerir procedimentos de coleta de dados para incluir informações relevantes para a construção dos modelos• Usar modelagem preditiva para melhorar e otimizar as experiências dos clientes e outros resultados de negócios• Ter perfil de pesquisador. Explorar e estudar artigos científicos que auxiliem no desenvolvimento de novos algoritmos. Temos muitos desafios e várias investigações e pesquisas a serem feitas!  O que buscamos em você:  • Domínio de Python ou R• Desenvolvimento de APIs em Python• Feature Engineering• Jupyter numpy pandas scikitlearn matplotlib seaborn etc• Machine Learning (supervisionado e não supervisionado)• Domínio em algoritmos de processamento em linguagem natural• Mineração transformação e análise de dados• Métricas de performance de modelos: precision recall ROC F1 accuracy etc.  + Plus + • Flask• SQL (busca/recuperação de informação)• Modelagem Matemática e Estatística• Hadoop Hive Spark. O que iremos te oferecer: Pacote básico• auxílio desenvolvimento p/ cursos• auxílio creche (crianças até 5 anos)• convênio médico Porto Seguro• convênio odontológico MetLife• VT fretado ou auxílio estacionamento• VR de R$3200/dia• cesta de natal• seguro de vida     Nossos diferenciais• Great Place To Work TI (201420152016)• ambiente informal• horário flexível•possibilidade de fazer homeoffice alguns dias• café da manhã e da tarde + fruta• ginástica laboral quick massage e assessoria esportiva• parceria com a Gympass• videogame revistas & jornais• parabéns com coxinha e bolo todo mês • festas e eventos ao longo do ano• troca de conhecimento através de palestras e workshops internos• wifi aberto para dispositivos pessoais• parcerias com universidades e escolas de idiomas • fácil acesso de carro trem ou fretado Local de trabalho:Brooklin Novo (Zona Sul São Paulo/SP) Se você tem o perfil para trabalhar neste ambiente desafiador onde todos fazem o que querem e todo mundo tem tudo a ver com isso se inscreva!,VAGAS.com,17/07/2019,Estatístico
v1953616,Estagiário em Estatística ou Matemática,Rio de Janeiro,R$ 1.004,1,2019-09-14,Estágio,Atividades do cargo: Preenchimento e criação de planilhas de Excel Envio e apuração de pesquisas de opinião através de programa específico Relatórios estatístico de eficiência dos projetos Envio de maladireta pelo word. Requisitos mandatórios: Estar cursando matemática ou estatística Excel avançado Ter disponibilidade de atuar de seg a sexta de 9h às 16h Possuir fácil acesso a São Cristóvão.,Manpower Staffing,06/09/2019,Estatístico
v1955641,Assistente de Avaliação em Estatística,Belo Horizonte,Salário a combinar,1,2019-09-14,Júnior/Trainee,Atividades a serem desempenhadas:•         Organização do cronograma e pastas do repositório•         Acompanhamento abertura  e atualização de quadros e cards nas ferramentas de gestão à vista•         Confecção e atualização de planilhas de controle (Ex: Banco de Itens Erratas Anulações)•         Trâmite de conferências de questões com analistas pedagógicos em rodagens•         Conferência das máscaras dos simulados na plataforma•         Elaboração de planilhas e relatórios de reports à coordenação e gerência. Requisitos:Superior completo ou cursando em Estatística. Jornada de Trabalho: 44hs semanais.,Bernoulli Educação,Há 4 dias,Estatístico
v1950642,Consultor - Estatístico - SAS,Rio de Janeiro,Salário a combinar,1,2019-09-14,Pleno,Descrição das atividadesExtração de base de dados (SAS/SQL) confecção de relátorios e análises financeiras.Desenvolvimento de informações e apresentações gerenciais para comitês executivos.Desenvolvimento de modelos estatísticos voltados para aumento da curva recupureção e redução de churn.Identificação de desvios no bad debt.Conhecimento e Experiência desejávelExperiência em manipulação de bases de dados com grande volume. (SAS)Formação desejávelAnálise de Sistemas ou EstatisticaEscolaridade MínimaSuperior CompletoEmpresa e Local de TrabalhoM300 TIM S.A.RJ Rio de Janeiro,TIM Brasil,Há 4 dias,Estatístico
v1950707,Consultor Sênior - Estatístico - SAS,Rio de Janeiro,Salário a combinar,1,2019-09-14,Sênior,Descrição das atividadesFocal de Informações gerenciais para os Clientes Live residencial e convergencia.Extração de base de dados (SAS/SQL) confecção de relátorios e análises financeiras.Desenvolvimento de informações e apresentações gerenciais para comitês executivos.Desenvolvimento de modelos estatísticos voltados para aumento da curva recupureção e redução de churn.Identificação de desvios no bad debt.Conhecimento e Experiência desejávelManipulação de dados em SAS e desenvolvimento de diagnosticos.Formação desejávelAnálise de Sistemas ou EstatisticaEscolaridade MínimaSuperior CompletoEmpresa e Local de TrabalhoM300 TIM S.A.RJ Rio de Janeiro,TIM Brasil,Há 4 dias,Estatístico
v1954856,Analista de Informações Gerenciais - Júnior (Estatística),São Paulo,Salário a combinar,1,2019-09-14,Júnior/Trainee,Do dia a dia:Elaboração de relatórios gerenciais técnicoestatísticos para acompanhar indicadores e resultados dos produtos de segurosElaboração de algoritmos de extração de dados para suporte de análises e relatórios estatísticosManipulação e manutenção de base de dadosParticipar do desenvolvimento de projetos de informação e análise de dados. O que é importante:Formação superior completa em: Administração Finanças Matemática Estatística e áreas similaresConhecimentos em SAS/SQL. Local de trabalho: Morumbi São Paulo SP.,HDI SEGUROS,Há 5 dias,Estatístico
v1954379,"Estágio em Administração, Economia ou Estatística",Brasília,R$ 1.200,1,2019-09-14,Estágio,Segmento da empresa: TelecomunicaçãoAtividades a serem desenvolvidas:Auxiliar nas atividades operacionais na Diretoria de planejamento comercial. Geração de relatórios gerenciai manipulação de base de dados.Atender e preparar informações para atualização de banco de dados em sistema Tablo.Requisitos: a partir do 6º semestre e conhecimento intermediário em Excel.Local de trabalho: Asa NorteHorário de trabalho: 9h às 16h (com 1h de almoço) de segunda a sexta.Remuneração: R$ 1.20000Benefícios: VT + VR,STAG Central de Estágios e Desenvolvimento,Há 5 dias,Estatístico
