idVaga,NomeVaga,Cidade,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,Empresa,DataPubli
v1885455,Estágio - Estatística,Belo Horizonte,Salário a combinar,1,2019-08-29,Estágio,ATRIBUIÇÕES DO CARGO:Auxiliar nos programas de monitoramento do Projeto Básico Ambiental da UHE Belo Monte e em outros projetos de licenciamento ambiental.Realizar atividades relacionadas à compilação atualização e gestão de planilhas e banco de dados específicos dos referidos programas ambientais.Apoio na elaboração das análises dos relatórios técnicos desenhos gráficos tabelas e mapas (AutoCad e/ou Gis) relacionados à demandas em processos de licenciamento ambiental incluindo o desenvolvimento e modificação de sintaxes e algoritmos.    COMPETÊNCIAS NECESSÁRIAS: Conhecimento em Excel R (intermediário) e AccessBons conhecimentos nos demais programas do Pacote OfficeDesejável conhecimento avançado do RCursando Estatística 3º anoOUTRAS INFORMAÇÕES:Todas as nossas vagas estão disponíveis também para candidatos com deficiência ou beneficiários reabilitados pelo INSS.,Tractebel,06/05/2019
v1945218,Atuário / Estatístico Sr.,São Paulo,Salário a combinar,1,2019-08-29,Sênior,Atividades do cargo: Elaboração de nota técnica atuarial Precificação de planos de saúde Provisões técnicas Análise de indicadores por carteira (por produto tipo de contratação etc.) Teste de Adequação de Passivo e Cálculo de capital mínimo Acompanhar obrigações junto a ANS Apuração de despesas assistenciais (sinistralidade) Análise demográfica dos beneficiários. Conhecimentos necessários: Ensino Superior completo em Ciências Atuariais Matemática ou Estatística Pósgraduação cursando/completa em áreas relacionadas (Finanças Economia Estatística Matemática e afins) Excel avançado Conhecimento em programas estatísticos como: SAS SQL R Pyton Stata SPSS etc Desejável inglês intermediário Essencial ter atuado em empresas dos ramos de: assistência médica previdência ou seguros.,UNIMED FESP,Há 7 dias
v1917776,Analista de Modelagem Estatística Sênior,Barueri,Salário a combinar,1,2019-08-29,Sênior,Principais Atividades:Desenvolvimento de modelos estatísticos para todo o ciclo de crédito (Propensão Concessão e Recuperação)Avaliação de novas técnicas estatísticas para melhores resultadosApresentação para clientes de resultados.Para atuação nesta área e protagonizar sua carreira além de pensamento inovador você precisará de:Sólidos conhecimentos em técnicas de Machine LearningConhecimento em SAS R ou PythonVivência em Regressão Logística. Formação necessária para estas posições:Matemática Estatística Ciência da Computação ou Engenharia. Remuneração Benefícios e Vantagens:A Boa Vista SCPC oferece um programa de benefícios flexíveis e você poderá distribuílos de acordo com suas necessidades:Remuneração compatível com o mercadoJornada de 40 horas semanais em horário flexívelTrabalho em jornada flexívelParticipação nos Resultados (PPR)Assistência MédicaAssistência OdontológicaValeRefeição/AlimentaçãoTransporte fretado para diversas regiões conforme disponibilidade/Vale transportePrevidência Privada com coparticipação da Boa VistaSeguro de vidaConvênio farmáciaConvênio SESCWifi liberado em todas as áreasDayoff no dia do seu aniversário + ingresso para cinema​Espaços exclusivos para refeições lazer e descanso com rede bebidas quentes frigobar televisão video game mesa de sinuca pingpong e outros jogosAmbulatório com consultas assistenciais para dependentes legais incluindo campanhas de vacinas sazonaisPAE – Programa de Assistência ao Empregado e Familiares com atendimento de equipe multidisciplinar por telefone composta por Assistente Social Psicólogos Advogados e Nutricionistas 24 horas por dia 7 dias da semana sem qualquer custo.,Boa Vista SCPC,03/07/2019
v1943426,Consultor Sênior - Marketing - CRM - Estatístico (Telecomunicações),Rio de Janeiro,Salário a combinar,1,2019-08-29,Sênior,Descrição das atividades Monitoramento de novas receitas do negócio PréPago (TIM Ads e Crédito Especial) Análises estatísticas para subsidiar o negócio pré pago por novas formas de receita Alinhamento de Projetos das demais áreas que impactam o negócio Pré Pago Análises dos impactos ou possíveis impactos nos indicadores Pré Pago das novas receitasConhecimento e Experiência desejável Experiência no mercado de Telecom Conhecimento em SAS SQL Excel Power Point Bom relacionamento interpessoal com áreas paresFormação desejávelEstatística Administração Engenharia da Produção Ciência de Dados Sistemas de InformaçãoEscolaridade MínimaSuperior CompletoEmpresa e Local de TrabalhoM300 TIM S.A.RJ Rio de Janeiro,TIM Brasil,Há 3 dias
v1941042,Estágio em Engenharia ou Estatística - Gestão Operacional e Qualidade,Paulínia,R$ 1.530 a R$ 1.750,1,2019-08-29,Estágio,.Requisitos obrigatórios: Cursando Penúltimo Ano de Engenharia ou Estatística   Inglês Intermediário / Avançado Domínio do Pacote Office com Excel Avançado .Atividades do Estagiário: Treinamento em ISO 9001 ISO 14001 Excelência e Seis Sigma (noções básicas) e participação em auditorias internas.Suporte à implementação do Plano anual de Excelência/Qualidade.Desenvolvimento e manutenção de ferramentas que auxiliam a medição de indicadores críticos para Qualidade e Excelência (Flash Qualidade BSC Vazamentos Horas Extras entre outros).Atuar nos projetos na área de Excelência.,Willisa,14/08/2019
v1940030,"Estágio em Administração de Empresas, Eng. Produção, Estatística - Dasa / PE",Recife,Salário a combinar,1,2019-08-29,Estágio,Requisitos:Cursando Administração de Empresas Matemática Eng. Produção com formação prevista a partir de 12/2020Área Atuação/ Atividades:Núcleo Técnico Operacional –  (1 vagas)Acompanhamento de IndicadoresGestão do Modelo DASA de ProduçãoDesenvolvimento de dashboard de indicadores da produção e acompanhamentoRelatórios gerenciais Bolsa Auxílio e Benefícios:Bolsa estágio: R$ 95500Possibilidade de prorrogação de contratoPossibilidade de efetivaçãoHorário de Estágio:6 horas/dia das 9h às 16hLocais de Estágio: RecifeBOA VIAGEM/ PE,Instituto Via de Acesso,13/08/2019
v1940106,Analista de Risco,Fortaleza,Salário a combinar,2,2019-08-29,Pleno,REQUISITOS Ensino superior completo em Estatística Economia Engenharia Matemática e áreas afins Pacote office avançado conhecimento em VBA SPSS Python Power BI e R Organizado(a) com senso de urgência perfil analítico e visão crítica.ATIVIDADES Responsável pela identificação desenvolvimento e implantação das estratégias de Modelos Estatísticos Construção de Banco de Dados que permitam evoluir no processo de desenvolvimento e Gestão dos Modelos EstatísticosTrabalhar com os Fornecedores e Pares para o desenvolvimento de: Credit Scores Behaviour Scores e Collection Score Avaliar continuamente os resultados dos Modelos Estatísticos incluindo riscos e oportunidades Monitoramento dos Modelos Estatísticos através de  MIS Entre outras atividades.,Fortbrasil,13/08/2019
v1939529,Analista de Modelagem de Crédito Sr,São Paulo,Salário a combinar,1,2019-08-29,Sênior,REQUISITOS: Formação Superior em Estatística/Matemática/Física/Economia/ Administração de Empresas. Desejável Pósgraduação Experiência em instituições financeiras com criação de modelos estatísticos de crédito Pessoa Física Mensuração e analise de resultados Estudos comportamentais de clientes.,CV Consult,12/08/2019
v1921628,Analista Sr. de Dados (Foco em Pricing),São Paulo,Salário a combinar,1,2019-08-29,Sênior,Prérequisitos:• Graduação completa: Preferencialmente em Estatística Matemática ou Ciências da Computação. • Mandatório experiência com softwares R Alteryx e Tableau.• Necessário conhecimento em estatística avançada.• Necessário Excel avançado. • Inglês intermediário Desejável.• Imprescindível ter experiência prévia em manipulação e análise de dados. Atividades inerentes ao cargo:• Essa função irá apoiar o time de Pricing na tomada de decisão através de manipulação das bases de dados e modelagem estatística.• Responsável por fazer o tratamento dos dados que serão analisadas pelo time de Pricing.• Modelagem estatística de preços e efetividade promocional realizadas através dos softwares R Alteryx e Tableau.• Operacionalização de mudanças nos scripts da programação dos softwares requeridas pelo time de Pricing. *Diversidade e igualdade andam lado a lado na Avon. Esta vaga também destinase a pessoas com deficiência.,Avon,10/07/2019
v1948756,Estágio área de Supply Chain,Vinhedo,Salário a combinar,1,2019-08-29,Estágio,Multinacional em parceria com a Global Empregos Requisitos: Cursando Engenharia Matemática ou Estatística• EXCEL AVANÇADO• CONHECIMENTO EM BANCO DE DADOS• POWER POINT INTERMEDIÁRIO• INGLÊS INTERMEDIÁRIO Benefícios: Vale alimentação vale transporte convênio médico refeição no local e seguro de vidaHorário: 07h30 às 14h30 ou 10h13 as 17h13 – segunda a sextaResponsabilidades: dar Suporte quantitativo ao setor de Supply Chain através do mapeamento análise e geração de dados estatísticos para fundamentar a tomada de decisão minimizando os riscos e automatizando as decisões com assertividade nos resultados. Extração de relatório do SAP realização de carga tratamento e extração de dados no Banco de Dados do Excel (construir modelos estatísticos). Auxiliar na análise estatística dos dados propondo melhor modelo estatístico e ajudar na implementação de melhorias. Auxiliar na criação de indicadores de Gestão do Supply Chain e acompanhar os indicadores de gestão realizando melhorias nas bases de dados e suportando as melhorias nos processos da área de Supply Chain. Domínio do MS Excel e bom uso do MS PowerPoint. Pesquisar novas técnicas e metodologias em modelagem e testar sua aplicação no negócio.,Global Empregos,Ontem
